,id,title,labels,scores,status
5573,HXnekieBUQ,Propensity Guided Transformer For Causal Effect Inference,causality,"[0,2,4,6]",Withdraw
768,2LZ6UmOe0F,Balanced Clustering in Reduced Dimensions,clustering,"[2,2,2,6]",Withdraw
18360,vQL6F5vYQN,Locality-Aware Multiresolution Graph Spectral Filtering to Mitigate Oversmoothing and Oversquashing.,clustering,"[2,2,2,4,6]",Withdraw
1221,3osmz8XzCR,Do you know what k-means? Clustering with constant number of samples,clustering,"[2,2,6]",Reject
18405,vXt4OFsw6j,Representation Learning of Ancient Greek Letterforms across Time,clustering,"[2,2,4]",Reject
10332,W8ZXfNaqku,Frayed RoPE and Long Inputs: A Geometric Perspective,clustering,"[4,4,6,10]",Poster
7100,MFuM9KAEYc,AVEX: What Matters for Animal Vocalization Encoding,clustering,"[4,4,6,6]",Poster
1061,3JlljaiQwR,Mini-cluster Guided Long-tailed Deep Clustering,clustering,"[4,4,4,6]",Poster
1287,41am4lUMuo,Crime Prediction using Adaptive Quadtrees,clustering,"[0,2,2,4]",Reject
4578,ERJd7dMN6U,Riemannian Optimization on Relaxed Indicator Matrix Manifold,clustering,"[4,4,6]",Poster
15649,mcxuhnQgLj,Autonomy-Aware Clustering: When Local Decisions Supersede Global Prescriptions,clustering,"[0,4,6,6]",Reject
398,17h5Sl2EaK,Distributed Algorithms for Euclidean Clustering,clustering,"[6,6,8,8]",Poster
17104,rJv2byEWA3,TikZilla: Scaling Text-to-TikZ with High-Quality Data and Reinforcement Learning,code generation,"[6,6,6,6]",Poster
9612,TvpaeQVTGQ,"A Fast, Reliable, and Secure Programming Language for LLM Agents with Code Actions",code generation,"[4,6,6,6]",Reject
2629,8AEtw2qFpH,Bongards at the Boundary of Perception and Reasoning: Programs or Language?,code generation,"[2,2,2,2]",Withdraw
16383,p4ERSIzHdL,CrossPL: Systematic Evaluation of Large Language Models for Cross Programming Language Interoperating Code Generation,code generation,"[4,4,6,6,6]",Poster
10100,VP204Aa0gH,OmniCode: A Benchmark for Evaluating Software Development Agents,code generation,"[2,2,2,4]",Withdraw
15962,ngAdlt5n0q,BigO(Bench) - Can LLMs Generate Code with Controlled Time and Space Complexity?,code generation,"[2,4,6]",Reject
10097,VNUDPmevv3,To Guide or Not to Guide: Sparse Transductive Guidance in Program Synthesis,code generation,"[2,2,6,6]",Reject
17162,rV8wccsR4R,Automated Smart Contract Code Generation Based on Graph RAG and LLM,code generation,"[2,4,4,6]",Reject
3742,BmkOKYfbmV,The Best of N Worlds: Aligning Reinforcement Learning with Best-of-N Sampling via max@k Optimization,code generation,"[2,4,4,6]",Reject
13616,gXkIkSN2Ha,"Text-to-SQL Benchmarks for Enterprise Realities: Under Massive Scopes, Complex Schemas and Scattered Knowledge",code generation,"[2,2,4,4,6]",Withdraw
10897,Y4CXVgjuAN,UniCode: A Framework for Generating High-Quality Competitive Coding Problems,code generation,"[4,4,4,6]",Reject
8055,PGZInpg1Oj,CODEALIGNBENCH: Assessing Code Generation Models on Developer-Preferred Code Adjustments,code generation,"[2,4,4]",Reject
2776,8m6yY1ULKh,AUTOTRITON: Automatic Triton Programming with Reinforcement Learning in LLMs,code generation,"[2,2,4,6]",Reject
7461,NRLlB08IoE,DL-Bench: Deep learning specific code generation benchmark,code generation,"[2,4,6,8]",Reject
7621,NuzRgYrBXo,Property-Oriented and Structurally Minimal Feedback for Effective LLM-based Code Refinement,code generation,"[4,4,4,6]",Withdraw
6058,IyIaAOihmZ,RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents,code generation,"[2,4,6,6]",Poster
53,0A4Uf88pog,VERINA: Benchmarking Verifiable Code Generation,code generation,"[4,4,6]",Poster
854,2cEjSILFZw,Process Supervision-Guided Policy Optimization for Code Generation,code generation,"[4,6,6,6]",Reject
14954,kbP98SvPGV,Boosting Verifiable Industrial Code Generation by Reliable Task Generation at Scale,code generation,"[4,4,6,8]",Desk Reject
1642,58NA3unZj5,DiffuCoder: Understanding and Improving Masked Diffusion Models for Code Generation,code generation,"[4,6,6,8]",Poster
14511,jHDZEUgS4r,MedAgentGym: A Scalable Agentic Training Environment for Code-Centric Reasoning in Biomedical Data Science,code generation,"[4,6,8,8]",Oral
10512,Wo8TGtKjix,ML²B: Multi-Lingual ML Benchmark For AutoML,code generation,"[2,2,2,2]",Withdraw
6118,J91IKwJrqv,QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities,code generation,"[2,6,6,6,8]",Poster
16723,qDQAiayjQI,Layer-wise dynamic rank for compressing large language models,compression,"[2,2,6,6]",Reject
9504,TbbMyr3E0x,ARC-AGI Without Pretraining,compression,"[2,2,4,6]",Reject
9349,T8xJmykE2H,Rejuvenating Cross-Entropy Loss in Knowledge Distillation for Recommender Systems,compression,"[4,4,6,8]",Poster
1749,5SQbPbCU6P,RS-MoE: Collaborative Compression for Mixture-of-Experts LLMs based on Low-Rank and Sparse Approximation,compression,"[2,4,4,6,8]",Reject
1433,4YBRDJ5TN3,Exploring Redundancy and Shared Representations for Transformer Models Optimization,compression,"[0,2,2,2]",Reject
10657,XI1CeufywD,To Compress or Not? Pushing the Frontier of Lossless GenAI Model Weights Compression with Exponent Concentration,compression,"[2,4,6,8]",Poster
13264,fIpDd5UlFP,AA-SVD: Anchored and Adaptive SVD for Large Model Compression,compression,"[2,2,2,4]",Reject
5864,INXrtaUeGR,Refactoring Codebases Through Library Design,compression,"[4,4,4,10]",Reject
6863,LTvPnm2Oy9,Breadcrumbs Reasoning: Memory-Efficient Reasoning with Compression Beacons,compression,"[4,4,4,6]",Reject
6023,IrVGdVSJU1,"TL;DR: Too Long, Do Re-weighting for Efficient LLM Reasoning Compression",compression,"[2,4,4,6]",Withdraw
11558,a4sxpU37LJ,BUDDY: BUdget-Driven DYnamic Depth Routing for Adaptive Large Language Models Inference,compression,"[2,4,4,4]",Reject
1685,5GimteSrgW,CAR-LoRA: Training Compression-Aware and Robust LoRA Adapters for Evolving LLMs,compression,"[2,4,4,6]",Poster
280,0nvQ5kHXf4,Efficient Resource-Constrained Training of Transformers via Subspace Optimization,compression,"[6,6,6]",Oral
18559,vxkzW4ljeX,A universal compression theory: Lottery ticket hypothesis and superpolynomial scaling laws,compression,"[4,4,6,8]",Poster
10794,Xhf9YqwlM4,Tokenisation over Bounded Alphabets is Hard,compression,"[2,6,8,8,8]",Poster
9492,Ta2FHB0K0J,InComeS: Integrating Compression and Selection Mechanisms into LLMs for Efficient Model Editing,compression,"[4,4,4,6]",Withdraw
8699,R9BUpZJ2fF,Lang-Prune: Unlocking Fair and Powerful Pruning for Multilingual Large Language Models,compression,"[2,4,6,8]",Reject
11153,YqDMOJCGyG,Fast and Accurate Fisher-Guided Quantization via Efficient Kronecker Factor Approximation,compression,"[2,2,4,4]",Withdraw
19786,zvyeR1YBVC,Simple Context Compression: Mean-Pooling and Multi-Ratio Training,compression,"[2,2,2,6]",Withdraw
4968,FcQdppbqDo,Efficient Low-rank and Sparse Approximation and Adaptation for Large Language Models,compression,"[2,2,4]",Withdraw
18119,udgrpHqw4F,Hold Onto That Thought: Assessing KV Cache Compression On Reasoning,compression,"[4,4,4,6]",Reject
12520,d2Bx55mOgh,TerraCodec: Compressing Earth Observations,compression,"[2,4,4,6,6]",Reject
13265,fIrL1v75ch,ExGS: Extreme 3D Gaussian Compression with Diffusion Priors,compression,"[2,4,6]",Reject
16926,qosa4cpy2i,Compression Aware Certified Training,compression,"[2,4,8]",Reject
21,04Tfwy3LLC,Reassessing Layer Pruning in LLMs: New Insights and Methods,compression,"[2,4,6,8]",Poster
10312,W5kV18hrYO,AFORA: Activation-aware Factorization with Optimal Rank Allocation for Training-free LLM Compression,compression,"[2,2,6,6]",Reject
10421,WUOKbIhog3,"LEAN: Library-Based Adaptation for Continuous, Federated Fine-Tuning",continual learning,"[2,4,4,6]",Reject
6079,J1FIthPL7T,Layer-Wise Feedback Signals: Dynamic Regulation for Continual Learning,continual learning,"[2,2,4,4]",Withdraw
10392,WLSt5tIOSA,Fine-tuning VLMs Without Forgetting Is Easier Than You Think,continual learning,"[2,4,4,6]",Reject
8051,PFhmiWk20b,Toward Balanced Continual Learning via Fine-Grained Neuronal Intervention Inspired by Memory Consolidation,continual learning,"[2,4,4]",Desk Reject
7859,Ohq5sk3agt,What is the role of memorization in Continual Learning?,continual learning,"[2,4,4,6]",Reject
13491,g6kof5fSba,Barriers for Learning in an Evolving World: Mathematical Understanding of Loss of Plasticity,continual learning,"[4,6,6,8]",Poster
6913,Lej4WvdpFE,"Detect, Decide, Unlearn: A Transfer-Aware Framework for Continual Learning",continual learning,"[4,4,6,6]",Poster
14116,i1Rj7yU6eF,Merge before Forget: A Single LoRA Continual Learning via Continual Merging,continual learning,"[4,4,6,6]",Poster
13065,eecCPK8upD,Noradrenergic-inspired gain modulation attenuates the stability gap in joint training,continual learning,"[2,2,4,4,4]",Reject
7654,O2n7oXjEau,Learning to Re-think: Gated Recurrence with LoRA for Efficient and Effective Domain Incremental Learning,continual learning,,Withdraw
7722,OHSXtOwKwI,Load Balancing Neurons: Controlling Firing Rates Improves Plasticity in Continual Learning,continual learning,"[2,4,4,8]",Reject
11626,aIw0JzcvUN,UniPrompt-CL: Sustainable Continual Learning in Medical AI with Unified Prompt Pools,continual learning,"[2,2,4,6]",Reject
8613,QtKfbr0dCv,Lifelong Unlearning for Multimodal Large Language Models,continual learning,"[4,4,4]",Reject
11470,Zm1hjXxRQV,SplitLoRA: Balancing Stability and Plasticity in Continual Learning Through Gradient Space Splitting,continual learning,"[4,4,4,6]",Poster
5859,IMSa6CPFoG,Dream2Learn: Structured Generative Dreaming for Continual Learning,continual learning,"[0,4,6,8]",Withdraw
8415,QJGmolk1r9,LLM-based Online Time Series Forecasting with Frequency-driven Pattern Recognition,continual learning,"[2,4,4,4]",Reject
19368,ydTwv5D536,Pick Your Textual Gradients,continual learning,"[2,4,6]",Withdraw
18822,wowBEOijWh,Learning to Compose: Continual Visual QA through a Dual-Purpose Mixture-of-Experts Framework,continual learning,"[2,2,4,4]",Withdraw
1252,3uINmRldVW,LCA: Local Classifier Alignment for Continual Learning,continual learning,"[2,4,6,8]",Poster
15076,kuaZXtReJ0,Self-Organizing Resonant Network,continual learning,"[2,4,4,6]",Reject
14783,k5PgSlNc4E,PACE: Pretrained Audio Continual Learning,continual learning,"[6,6,6,8]",Poster
16711,qCIg2WGudx,Mapping Post-Training Forgetting in Language Models at Scale,continual learning,"[2,4,6,8]",Poster
8090,PMDxFlbxaj,"UltraEdit: Training-, Subject-, and Memory-Free Lifelong Editing in Language Models",continual learning,"[2,2,4,8]",Withdraw
4332,Dgb7vtSilx,C-Flat Turbo: A Faster Path to Continual Learning,continual learning,"[2,4,4,4,6]",Withdraw
6341,JpEZIM0qAZ,Rote Learning Considered Useful: Generalizing over Memorized Data in LLMs,continual learning,"[2,6,6,8]",Poster
1493,4iu9Lj0Ist,Machine Unlearning Meets Continuous Learning: A Theoretical Analysis,continual learning,"[2,2,4,6]",Reject
18375,vRwonhcrbA,DeL: Biologically Plausible Dendritic Learning Enables Class-Incremental Learning,continual learning,"[2,2,6,6]",Withdraw
1988,69ah30zkIO,Adaptive Budget Allocation for Orthogonal-Subspace Adapter Tuning in LLMs Continual Learning,continual learning,"[4,4,4,4]",Reject
4786,F4dntnOqDE,NeuMoSync: End‑to‑End Neuromodulatory Control for Plasticity and Adaptability in Continual Learning,continual learning,"[4,6,6,6]",Reject
12265,cGlvmqZlox,"If an LLM Were a Character, Would It Know Its Own Story? Evaluating Lifelong Learning in LLMs",continual learning,"[2,2,4,4]",Withdraw
6061,IyUq9NwOTS,Little By Little: Continual Learning via Self-Activated Sparse Mixture-of-Rank Adaptive Learning,continual learning,"[4,4,4,6]",Reject
6543,KUmc5gLndO,BM-CL: Bias Mitigation through the lens of Continual Learning,continual learning,"[2,4,6,6]",Reject
2193,6qyRiyI5Ky,CoLaP: Contrastive Learning with Adaptive Prompts for Continual Learning,continual learning,"[2,2,2,2]",Reject
126,0Olva8f90o,Noise is All You Need: Solving Linear Inverse Problems by Noise Combination Sampling with Diffusion Models,diffusion models,"[2,4,4,6]",Reject
10798,Xj2BUMY66S,LAFR: Efficient Diffusion-based Blind Face Restoration via Latent Codebook Alignment Adapter,diffusion models,"[2,2,4,6]",Withdraw
2849,8zoxC9e23q,Diffusion Fine-Tuning via Reparameterized Policy Gradient of the Soft Q-Function,diffusion models,"[4,6,6,8]",Poster
17821,tg19FVh3p1,Weak-to-Strong Diffusion,diffusion models,"[4,4,6,6,8]",Poster
14994,khEYpErtMl,Calibrating Generative Models,diffusion models,"[2,6,6,6]",Reject
3197,A5AejTTloS,Value-Alignment via Safe Semantic Manifold-Constrained Latent Diffusion,diffusion models,"[2,2,4,4]",Reject
19435,ypc7mvGVNm,Seeing the Unseen: How EMoE Unveils Bias in Text-to-Image Diffusion Models,diffusion models,"[2,2,6]",Withdraw
6692,KtocialdxS,LowDiff: Efficient Diffusion Sampling with Low-Resolution Condition,diffusion models,"[2,2,4]",Reject
1906,5upNiIb6UQ,Relation-Augmented Diffusion for Layout-to-Image Generation,diffusion models,"[4,4,4,6]",Reject
6119,J96K1KV97N,Revisiting Distribution Reconstruction via Sample Adaptability: Diffusion-Guided Data-Free Quantization,diffusion models,"[2,4,4,4]",Reject
6637,Kkl3mn6g5W,DDSPO: Direct Diffusion Score Preference Optimization via Stepwise Contrastive Policy-Pair Supervision,diffusion models,,Withdraw
13196,f6TKbKtWYQ,TooBad: Backdoor Diffusion Models with Ultra-Low Poison Rate and Imperceptible Trigger,diffusion models,,Withdraw
1942,61OBn2aI04,Implicit State Estimation via Video Replanning,diffusion models,"[4,4,6,6]",Reject
19272,yGY7HqsTKL,Revisit Model Adaptation from Parameters to Features,diffusion models,"[2,4,4,6]",Withdraw
9043,SBVqQAmYkC,TCA-DiT: Quantizing Diffusion Transformers via Temporal Channel Alignment,diffusion models,"[4,4,4,6]",Withdraw
11503,Zsb27kqtX5,On the Collapse of Generative Paths: A Criterion and Correction for Diffusion Steering,diffusion models,"[2,4,6,8]",Desk Reject
3300,ANKQqRicBM,DiffMoE: Dynamic Token Selection for Scalable Diffusion Transformers,diffusion models,"[4,6,6]",Reject
4596,EVRMnAREc3,Diverse Text-to-Image Generation via Contrastive Noise Optimization,diffusion models,"[4,6,6,6]",Poster
6777,LBtWaUc7FE,ReFusion: A Diffusion Large Language Model with Parallel Autoregressive Decoding,diffusion models,"[4,4,4,6]",Poster
19229,yAns9ibCaE,ByteMorph: Benchmarking Instruction-Guided Image Editing with Non-Rigid Motions,diffusion models,"[4,4,4,8]",Reject
2206,6t9YPOZH0w,Secure Inference for Diffusion Models via Unconditional Scores,diffusion models,"[4,6,6]",Poster
1984,68M8vHVH8j,ControlSwap: Controllable Personalized Subject Swapping,diffusion models,"[2,2,4]",Withdraw
16147,oJP8Geymcr,Consistency Models as Plug-and-Play Priors for Inverse Problems,diffusion models,"[2,4,4,6]",Withdraw
16962,quxeCxJwKm,Shrinking Proteins with Diffusion,diffusion models,"[4,4,4,6,8]",Poster
11996,bQyPTtOBoM,MoDA: Multi-modal Diffusion Architecture for Talking Head Generation,diffusion models,"[2,4,4,4,8]",Withdraw
5610,Hd1Wciuyka,Jodi: Unification of Visual Generation and Understanding via Joint Modeling,diffusion models,"[2,4,6,6]",Reject
15236,lRQCpF1paA,Mode-seeking for inverse problems with diffusion models,diffusion models,"[2,4,4,6]",Reject
2003,6D5Odqol1B,CASteer: Cross-Attention Steering for Controllable Concept Erasure,diffusion models,"[4,4,6,6]",Poster
4370,Dq64kthckN,EigenScore: OOD Detection using Posterior Covariance in Diffusion Models,diffusion models,"[2,4,4,6]",Poster
16535,paIBfCuocO,Rotations on Latent Hyperspheres: a Geometry-Aware Guiding Framework for Diffusion Models,diffusion models,"[2,2,6,6]",Reject
7710,OEgWVhdom2,Diffeomorphic Optimization,diffusion models,"[0,6,8]",Reject
1560,4uxkWrysg6,Diffusion Models are Molecular Dynamics Simulators,diffusion models,,Desk Reject
18525,vrY91av397,Learning to Generate Object Interactions with Physics-Guided Video Diffusion,diffusion models,"[0,2,4,6]",Withdraw
10545,WtbXgc9GVA,LoRA meets Riemannion: Muon Optimizer for Parametrization-independent Low-Rank Adapters,diffusion models,"[2,4,4,4,6]",Poster
3292,ALgBKWHNRV,One-Step Residual Shifting Diffusion for Image Super-Resolution via Distillation,diffusion models,"[2,4,6,6]",Reject
12498,cyQUZDMpg3,HiGS: History-Guided Sampling for Plug-and-Play Enhancement of Diffusion Models,diffusion models,"[4,6,6,8]",Poster
6910,LeDB6thSoG,UniGP: Taming Diffusion Transformer for Prior Preserved Unified Generation and Perception,diffusion models,"[2,4,4,6]",Withdraw
88,0H5iD4he7R,A Unified Framework for Diffusion Model Unlearning with f-Divergence,diffusion models,"[2,2,6,6]",Reject
1138,3a2QuEzveq,"Robust Generalized Schr\""{o}dinger Bridge via Sparse Variational Gaussian Processes",diffusion models,"[4,6,8,8]",Poster
14259,iSO1WFjSKh,On the Collapse Errors Induced by the Deterministic Sampler for Diffusion Models,diffusion models,"[2,2,6,6]",Withdraw
4658,Eg3KqoI9tS,TPDiff: Temporal Pyramid Video Diffusion Model,diffusion models,"[4,4,4,6,6,8]",Poster
7907,Or5COmgVJ4,"Look Locally, Learn Precisely: Interpretable and Unbiased Text-to-Image Generation with Background Fidelity",diffusion models,"[2,4,4,4]",Withdraw
13866,hJasHYdECc,Diffusion Posterior Sampling for Nonlinear Contextual Bandits,diffusion models,"[4,4,6,6]",Reject
4366,Dofaulr5RE,Plug-and-Play Label Map Diffusion for Universal Goal-Oriented Navigation,diffusion models,"[0,6,6,6]",Reject
6150,JEpWuuoqbp,Break Stylistic Sophon: Are We Really Meant to Confine the Imagination in Style Transfer?,diffusion models,"[2,2,2,4]",Withdraw
18184,upUl6hMYwy,UniHand: A Unified Model for Diverse Controlled 4D Hand Motion Modeling,diffusion models,"[2,6,8]",Poster
4386,DscflMFynS,VIDES: VIDEO EDITING IN SECONDS WITH ONE-STEP DIFFUSION MODELS,diffusion models,"[2,2,2,6]",Withdraw
18315,vH7OAPZ2dR,GLASS Flows: Efficient Inference for Reward Alignment of Flow and Diffusion Models,diffusion models,"[6,6,8,8]",Oral
13611,gWyYeO0LWZ,Dynamic–Static Representation Learning with Mamba-Enhanced Diffusion for Temporal Knowledge Graph Reasoning,diffusion models,"[2,4,4,6]",Reject
3750,Bp2VlfYAMc,TIPS: A Text-Image Pairs Synthesis Framework for Robust Text-based Person Retrieval,diffusion models,"[2,4,6,8]",Reject
16725,qDg8KNq0Fm,MFSR: MeanFlow Distillation for One Step Real-World Image Super Resolution,diffusion models,"[4,4,4,4]",Withdraw
4311,DcVg87ibK9,Does FLUX Already Know How to Perform Physically Plausible Image Composition?,diffusion models,"[6,8,8]",Poster
12970,eLsEjjFODE,SpeechOp: Inference-Time Task Composition for Generative Speech Processing,diffusion models,"[4,4,8,8]",Poster
5659,HnDBPRWUD6,TransLight: Image-Guided Customized Lighting Control with Generative Decoupling,diffusion models,"[2,6,6,6]",Withdraw
5383,GxPtLwLSOL,GLYPH-SR: Can We Achieve Both High-Quality Image Super-Resolution and High-Fidelity Text Recovery via VLM-Guided Latent Diffusion Model?,diffusion models,"[4,4,6,6]",Withdraw
2149,6fJhYSYMgz,DS-VTON: An Enhanced Dual-Scale Coarse-to-Fine Framework for Virtual Try-On,diffusion models,"[2,2,4,4]",Withdraw
18704,wSGle6ag5I,Improving Diffusion Models for Class-imbalanced Training Data via Capacity Manipulation,diffusion models,"[6,6,6,6]",Oral
6838,LPFoqBacji,RIFLE: Removal of Image Flicker-Banding via Latent Diffusion Enhancement,diffusion models,"[2,4,4,6]",Reject
10748,XZuDFOh91e,Reward-Guided Flow Merging via Implicit Density Operators,diffusion models,"[2,4,8]",Reject
1607,540Bsw9Yu8,Rectifying Diffusion Guidance with Exponential Moving Average,diffusion models,"[2,4,6,6]",Reject
14912,kTEOG9a2W3,PHDME: Physics-Informed Diffusion Models without Explicit Governing Equations,diffusion models,"[2,2,6,8]",Reject
10039,VCStVrq0BZ,Finite-Time Convergence Analysis of ODE-based Generative Models for Stochastic Interpolants,diffusion models,"[4,6,6,6]",Poster
2730,8aFYx2mDyE,UniVerse-1: Unified Audio-Video Generation via Stitching of Experts,diffusion models,"[4,4,6,6]",Reject
1210,3lSqgESdPu,Implicit Regularisation in Diffusion Models: An Algorithm-Dependent Generalisation Analysis,diffusion models,"[4,4,6]",Poster
5497,HHsD970kdE,DREAMSTATE: Diffusing States and Parameters for Recurrent Large Language Models,diffusion models,"[2,2,4,4]",Reject
1163,3dm2bqPTaI,Efficient Self-Guided Editing for Text-Driven Image-to-Image Translation,diffusion models,"[2,2,4,4]",Withdraw
8423,QLDHukpozh,OPRIDE: Efficient Offline Preference-based Reinforcement Learning via In-Dataset Exploration,diffusion models,"[4,4,6,6]",Poster
9996,V3eUas3VCL,DIFFSPARSE: ACCELERATING DIFFUSION TRANSFORMERS WITH LEARNED TOKEN SPARSITY,diffusion models,"[4,4,4,6]",Poster
11098,Yef9HRWesf,InfiniteTalk: Audio-driven Video Generation for Sparse-Frame Video Dubbing,diffusion models,"[2,4,4,4,6]",Withdraw
7513,Nbl43eAVaE,MAGREF: Masked Guidance for Any-Reference Video Generation with Subject Disentanglement,diffusion models,"[4,6,6,8]",Poster
1877,5og80LMVxG,Latent Wavelet Diffusion For Ultra High-Resolution Image Synthesis,diffusion models,"[4,4,4,6]",Poster
9508,TctJWv7Suz,VELR: Efficient Video Reward Feedback via Ensemble Latent Reward Models,diffusion models,"[4,4,6]",Withdraw
10604,X7JfjLKKLQ,Diagnosing and Improving Diffusion Models by Estimating Optimal Loss Value,diffusion models,"[6,6,8,8]",Poster
8717,RCVwpJEhpc,Constrained Generative Optimization via Progressive Flow Adaptation,diffusion models,"[2,2,6,6]",Reject
10859,Xv9lUIwPay,From Attack to Restoration: A Two-Stage Diffusion Framework for Face Privacy,diffusion models,"[2,2,4]",Withdraw
10990,YL2NgqN3Vh,Training-Free Reward-Guided Image Editing via Trajectory Optimal Control,diffusion models,"[4,4,4,6]",Poster
718,2AvjgGJg8U,Regularization can make diffusion models more efficient,diffusion models,"[2,4,6,8]",Reject
16198,oSUjUvs999,What Drives Compositional Generalization in Visual Generative Models?,diffusion models,"[2,4,4,6]",Reject
12455,cpc63YrVWN,A Joint Diffusion Model with Pre-Trained Priors for RNA Sequence–Structure Co-Design,diffusion models,"[4,4,6,8]",Poster
19737,znDmHZbvY6,Ambient Dataloops: Generative Models for Dataset Refinement,diffusion models,"[2,4,4,6]",Reject
16631,pvq53fGnRq,Plug-in Image Quality Control for Posterior Diffusion Super-Resolution,diffusion models,"[2,4,6,8]",Reject
5308,GgPNq4pzsI,Sample-efficient evidence estimation of score based priors for model selection,diffusion models,"[2,4,6,6]",Poster
15688,ml8DrNWCEx,Detecting Generated Images via Machine Unlearning,diffusion models,"[2,4,8]",Reject
5060,FvMyAMbbX0,ReactDance: Hierarchical Representation for High-Fidelity and Coherent Long-Form Reactive Dance Generation,diffusion models,"[4,4,6,8]",Poster
9884,Uh17FiwF4q,Accelerating Diffusion Large Language Models with SlowFast Sampling: The Three Golden Principles,diffusion models,"[4,4,6,8]",Poster
18248,v394xbZFlu,Geometry-aware Euclidean Diffusion Language Generation,diffusion models,"[0,2,4,4]",Reject
2557,7ylBzf6bXv,Effective Probabilistic Time Series Forecasting with Fourier Adaptive Noise-Separated Diffusion,diffusion models,"[0,2,6,8]",Reject
13838,hCy2mld5DK,Towards Training One-Step Diffusion Models Without Distillation,diffusion models,"[2,4,4]",Withdraw
16716,qCsbYJZRA5,The Spacetime of Diffusion Models: An Information Geometry Perspective,diffusion models,"[4,6,8,8]",Oral
10681,XNDoZaLRsW,X-Part: High-fidelity and Structure-coherent Shape Decomposition,diffusion models,"[2,4,6,8]",Withdraw
6879,LWS5Gkx0mT,PI-Light: Physics-Inspired Diffusion for Full-Image Relighting,diffusion models,"[6,6,8]",Poster
12225,c7vpjzlDR9,Scale-Adapter: Reversed Distillation Adapter for Efficient Training of Large Video Diffusion Models,diffusion models,"[2,4,4,4]",Withdraw
6374,JyboUMeEUi,CardioComposer: Leveraging Differentiable Geometry for Compositional Control of Anatomical Diffusion Models,diffusion models,"[4,6,8,8]",Poster
8600,QqgGE3mvrF,Inference-Time Reward-Guided Langevin Refinement for Diffusion Models,diffusion models,"[2,2,2,4]",Withdraw
8268,PwelCOoiiA,Flash-DMD: Unifying Distillation and Refinement for High-Fidelity Few-Step Image Generation,diffusion models,"[2,4,6,6]",Withdraw
446,1Ip4pZoHTH,PACE: Part-Wise Slow-Fast Conditioning for Dance-to-Music Generation,diffusion models,"[4,4,4,4,6]",Reject
11745,adacb4JTIv,AlphaFlow: Understanding and Improving MeanFlow Models,diffusion models,"[4,6,6,8]",Poster
16900,qj1EL0oT1n,Inference-Time Search using Side Information for Diffusion-based Image Reconstruction,diffusion models,"[4,4,6,6]",Reject
4603,EWM9JQ6gX7,SDErasure: Concept-Specific Trajectory Shifting for Concept Erasure via Adaptive Diffusion Classifier,diffusion models,"[4,4,6,6]",Poster
8108,PPYefQFHW2,FastFace: Training-Free Identity Preservation Tuning in Distilled Diffusion via Guidance and Attention,diffusion models,"[2,4,4,6]",Withdraw
16096,o88RP8Xqy5,T2VUnlearning: A Concept Erasing Method for Text-to-Video Diffusion Models,diffusion models,"[2,2,4,6]",Withdraw
3578,BGEdvJ35PV,Diffuse and Steer: Corrective Sampling for Stable 3D Molecular Generation,diffusion models,"[2,4,4]",Reject
7122,MKM8iEaowV,Generative Trajectory Planning in Dynamic Environments: A Joint Diffusion and Reinforcement Learning Framework,diffusion models,"[2,2,2,6]",Reject
7116,MI5o9XwoR5,AutoLoRA: Automatic LoRA Retrieval and Fine-Grained Gated Fusion for Text-to-Image Generation,diffusion models,"[2,2,4,6]",Withdraw
15926,nY8looE4lO,Macro-from-Micro Planning for High-Quality and Parallelized Autoregressive Long Video Generation,diffusion models,"[4,4,6,6]",Reject
9635,TzHNCCyBJa,A Generative Diffusion Framework for Single Image Reflection Separation,diffusion models,"[2,4,4,4]",Withdraw
5107,G5g6tDg1ZE,Harpoon: Generalised Manifold Guidance for Conditional Tabular Diffusion,diffusion models,"[4,4,8]",Poster
17141,rRc04jyoAk,Learning from Noisy Preferences: A Semi-Supervised Learning Approach to Direct Preference Optimization,diffusion models,"[2,6,6]",Poster
18634,wD55MXF6xr,DyME: Dynamic Multi-Concept Erasure in Diffusion Models with Bi-Level Orthogonal LoRA Adaptation,diffusion models,"[2,2,2,4]",Withdraw
6920,LgdsKj4m6G,HeadsUp! High-Fidelity Portrait Image Super-Resolution,diffusion models,"[2,4,4,6]",Withdraw
14472,jBNGp43uUd,DDM-TS: Decoupled Diffusion Models for Time-Series Generation with Explicit Trend–Seasonality Decomposition,diffusion models,"[2,2,4,6]",Withdraw
13199,f70HHKXnEC,Quantifying Information Flow in Diffusion Models: Entropy-Guided Noise Scheduling and Mutual Information Evaluation,diffusion models,"[0,2,2,4]",Withdraw
4157,D8aUg8R1VG,Conditional Diffusion Models with Classifier-Free Iterative Guidance,diffusion models,"[2,6,6]",Reject
3779,BsY20r9FOM,Continual Unlearning for Text-to-Image Diffusion Models: A Regularization Perspective,diffusion models,"[4,6,6,6]",Poster
4466,E6jDNtfj6X,Discrete Diffusion Models with MLLMs for Unified Medical Multimodal Generation,diffusion models,"[2,4,6,6]",Withdraw
19447,yrJdTtvASl,Diffusion-Enhanced GFlowNet for Solving Vehicle Routing Problems,diffusion models,"[2,6,6,6]",Reject
5036,FpGuLa3S9S,Autoregression with Self-Token Prediction,diffusion models,"[2,4,4]",Withdraw
